aaaaaaaaa
Node Name                                                                     Ops                                                                                                       Time(us)  Time(%)  Start Time       End Time         Shape             Inputs  Outputs  
---------                                                                     ---                                                                                                       --------  -------  ----------       --------         -----             ------  -------  
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_28/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           10615.65  14.5     13:08:04.593228  13:08:04.603860  (1,)              3       1        
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_28/batchnorm/add_1  fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                                              60.08     0.08     13:08:04.603931  13:08:04.603994  (1,)              4       1        
pad115                                                                        fuse_pad                                                                                                  23.49     0.03     13:08:04.604000  13:08:04.604025  (1,)              1       1        
broadcast_add317                                                              fuse_conv2d_broadcast_add                                                                                 655.63    0.9      13:08:04.604042  13:08:04.604700  (1,)              3       1        
pad116                                                                        fuse_pad                                                                                                  7.76      0.01     13:08:04.604708  13:08:04.604718  (1,)              1       1        
broadcast_add318                                                              fuse_conv2d_broadcast_add                                                                                 639.96    0.87     13:08:04.604733  13:08:04.605375  (1,)              3       1        
pad117                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    22.2      0.03     13:08:04.605385  13:08:04.605409  (1,)              3       1        
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_29/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           7.78      0.01     13:08:04.605444  13:08:04.605453  (1,)              3       1        
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_29/batchnorm/add_1  fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                         6147.15   8.39     13:08:04.605470  13:08:04.611621  (1,)              6       1        
pad118                                                                        fuse_pad                                                                                                  10.96     0.01     13:08:04.611634  13:08:04.611646  (1,)              1       1        
broadcast_add320                                                              fuse_conv2d_broadcast_add                                                                                 623.71    0.85     13:08:04.611663  13:08:04.612291  (1, 54, 6, 192)   3       1        
pad119                                                                        fuse_pad                                                                                                  9.96      0.01     13:08:04.612301  13:08:04.612313  (192,)            1       1        
broadcast_add321                                                              fuse_conv2d_broadcast_add                                                                                 616.52    0.84     13:08:04.612330  13:08:04.612948  (1,)              3       1        
pad120                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    18.59     0.03     13:08:04.612956  13:08:04.612976  (192,)            3       1        
Rcnn_ctcV3/conv_block3_1/unit2/add_15/add                                     fuse_conv2d_broadcast_add_broadcast_add                                                                   6090.71   8.32     13:08:04.612999  13:08:04.619094  (192,)            4       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_30/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           10.16     0.01     13:08:04.619122  13:08:04.619134  (192,)            3       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_30/batchnorm/add_1  fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                                              44.15     0.06     13:08:04.619151  13:08:04.619196  (192,)            4       1        
pad121                                                                        fuse_pad                                                                                                  9.94      0.01     13:08:04.619203  13:08:04.619214  (1, 54, 6, 192)   1       1        
broadcast_add323                                                              fuse_conv2d_broadcast_add                                                                                 615.69    0.84     13:08:04.619234  13:08:04.619853  (1, 54, 6, 192)   3       1        
pad122                                                                        fuse_pad                                                                                                  10.29     0.01     13:08:04.619865  13:08:04.619878  (1, 1, 192, 192)  1       1        
broadcast_add324                                                              fuse_conv2d_broadcast_add                                                                                 608.74    0.83     13:08:04.619894  13:08:04.620505  (192,)            3       1        
pad123                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    17.54     0.02     13:08:04.620513  13:08:04.620532  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_31/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           6.5       0.01     13:08:04.620567  13:08:04.620575  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_31/batchnorm/add_1  fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                         6161.11   8.41     13:08:04.620592  13:08:04.626757  (1, 1, 192, 192)  6       1        
pad124                                                                        fuse_pad                                                                                                  9.63      0.01     13:08:04.626772  13:08:04.626783  (192,)            1       1        
broadcast_add326                                                              fuse_conv2d_broadcast_add                                                                                 606.03    0.83     13:08:04.626800  13:08:04.627409  (1, 54, 6, 192)   3       1        
